schema_version,scenario_id,intervention_id,uncertainty_label,draw_id,time,adoption,cumulative_adoption,population,segment
1.0,baseline_access,implementation_bundle,trajectory_uncertainty,1,0,0.000,0.000,1000,eligible_population
1.0,baseline_access,implementation_bundle,trajectory_uncertainty,1,1,0.038,0.038,1000,eligible_population
1.0,baseline_access,implementation_bundle,trajectory_uncertainty,1,2,0.077,0.115,1000,eligible_population
1.0,baseline_access,implementation_bundle,trajectory_uncertainty,1,3,0.120,0.235,1000,eligible_population
1.0,baseline_access,implementation_bundle,trajectory_uncertainty,2,0,0.000,0.000,1000,eligible_population
1.0,baseline_access,implementation_bundle,trajectory_uncertainty,2,1,0.041,0.041,1000,eligible_population
1.0,baseline_access,implementation_bundle,trajectory_uncertainty,2,2,0.085,0.126,1000,eligible_population
1.0,baseline_access,implementation_bundle,trajectory_uncertainty,2,3,0.132,0.258,1000,eligible_population
1.0,baseline_access,implementation_bundle,trajectory_uncertainty,3,0,0.000,0.000,1000,eligible_population
1.0,baseline_access,implementation_bundle,trajectory_uncertainty,3,1,0.044,0.044,1000,eligible_population
1.0,baseline_access,implementation_bundle,trajectory_uncertainty,3,2,0.092,0.136,1000,eligible_population
1.0,baseline_access,implementation_bundle,trajectory_uncertainty,3,3,0.144,0.280,1000,eligible_population
1.0,accelerated_access,implementation_bundle,trajectory_uncertainty,1,0,0.000,0.000,1000,eligible_population
1.0,accelerated_access,implementation_bundle,trajectory_uncertainty,1,1,0.048,0.048,1000,eligible_population
1.0,accelerated_access,implementation_bundle,trajectory_uncertainty,1,2,0.096,0.144,1000,eligible_population
1.0,accelerated_access,implementation_bundle,trajectory_uncertainty,1,3,0.138,0.282,1000,eligible_population
1.0,accelerated_access,implementation_bundle,trajectory_uncertainty,2,0,0.000,0.000,1000,eligible_population
1.0,accelerated_access,implementation_bundle,trajectory_uncertainty,2,1,0.052,0.052,1000,eligible_population
1.0,accelerated_access,implementation_bundle,trajectory_uncertainty,2,2,0.104,0.156,1000,eligible_population
1.0,accelerated_access,implementation_bundle,trajectory_uncertainty,2,3,0.150,0.306,1000,eligible_population
1.0,accelerated_access,implementation_bundle,trajectory_uncertainty,3,0,0.000,0.000,1000,eligible_population
1.0,accelerated_access,implementation_bundle,trajectory_uncertainty,3,1,0.057,0.057,1000,eligible_population
1.0,accelerated_access,implementation_bundle,trajectory_uncertainty,3,2,0.114,0.171,1000,eligible_population
1.0,accelerated_access,implementation_bundle,trajectory_uncertainty,3,3,0.168,0.339,1000,eligible_population
